"song_name","artist_name","played_at","timestamp"
"The Width of a Circle - 2015 Remaster","David Bowie","2022-11-21T19:36:49.077Z","2022-11-21"
"Baby's On Fire - 2004 Digital Remaster","Brian Eno","2022-11-21T19:28:36.360Z","2022-11-21"
"Rice Pudding","Jeff Beck","2022-11-21T19:23:17.106Z","2022-11-21"
"Back In Black","AC/DC","2022-11-21T19:15:54.615Z","2022-11-21"
"Crossroads - Live","Cream","2022-11-21T19:11:38.905Z","2022-11-21"
"Voodoo Child (Slight Return)","Jimi Hendrix","2022-11-21T19:07:20.472Z","2022-11-21"
"Stranglehold","Ted Nugent","2022-11-21T19:02:06.855Z","2022-11-21"
"Reelin' In The Years","Steely Dan","2022-11-21T18:52:13.316Z","2022-11-21"
"Statesboro Blues","Allman Brothers Band","2022-11-21T18:47:35.712Z","2022-11-21"
"Bohemian Rhapsody","Queen","2022-11-21T18:42:51.094Z","2022-11-21"
"The Bomber A: Closet Queen B: Bolero C: Cast Your Fate To The Wind - Medley","James Gang","2022-11-21T18:35:24.854Z","2022-11-21"
"Eruption - 2015 Remaster","Van Halen","2022-11-21T18:28:19.873Z","2022-11-21"
"Paranoid - 2012 - Remaster","Black Sabbath","2022-11-21T17:35:47.581Z","2022-11-21"
"Views","Maze","2022-11-21T17:14:40.986Z","2022-11-21"
"Risk It All","Ella Henderson","2022-11-21T17:11:44.834Z","2022-11-21"
"Be My One","Sonny Fodera","2022-11-21T17:08:47.208Z","2022-11-21"
"The Thrill","Wiz Khalifa","2022-11-21T17:06:24.270Z","2022-11-21"
"Pursuit Of Happiness (Nightmare)","Kid Cudi","2022-11-21T17:00:58.907Z","2022-11-21"
"good 4 u","Olivia Rodrigo","2022-11-21T16:56:03.404Z","2022-11-21"
"As It Was","Harry Styles","2022-11-21T16:53:05.171Z","2022-11-21"
